,STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
305,Alabama,10307,97,0,15,6,2015,Monday,12,15,Clear,1
306,Alabama,10308,73,350,14,6,2015,Sunday,4,21,Clear,0
307,Alabama,10309,127,0,19,6,2015,Friday,5,40,Clear,0
308,Alabama,10310,125,3050,20,6,2015,Saturday,8,15,Cloudy,0
309,Alabama,10311,73,330,21,6,2015,Sunday,2,3,Cloudy,1
310,Alabama,10312,29,1620,20,6,2015,Saturday,2,15,Clear,1
311,Alabama,10313,95,400,23,6,2015,Tuesday,14,52,Clear,1
312,Alabama,10314,43,830,14,6,2015,Sunday,17,33,Clear,1
313,Alabama,10315,119,0,5,1,2015,Monday,18,30,Clear,0
314,Alabama,10316,73,0,28,5,2015,Thursday,18,32,Rain,0
315,Alabama,10317,73,0,1,7,2015,Wednesday,14,30,Rain,0
316,Alabama,10318,53,0,10,6,2015,Wednesday,2,10,Cloudy,0
317,Alabama,10319,39,0,16,6,2015,Tuesday,20,53,Clear,0
318,Alabama,10320,69,0,17,6,2015,Wednesday,10,45,Clear,0
319,Alabama,10321,3,0,17,6,2015,Wednesday,17,45,Clear,0
320,Alabama,10322,109,0,20,6,2015,Saturday,12,15,Clear,0
321,Alabama,10323,3,0,21,6,2015,Sunday,3,56,Clear,0
322,Alabama,10324,63,1070,21,6,2015,Sunday,18,51,Clear,0
323,Alabama,10325,33,0,23,6,2015,Tuesday,12,35,Clear,0
324,Alabama,10326,75,0,25,6,2015,Thursday,7,40,Clear,0
325,Alabama,10327,55,0,25,6,2015,Thursday,20,25,Clear,1
326,Alabama,10328,45,0,26,6,2015,Friday,1,15,Clear,1
327,Alabama,10329,15,100,26,6,2015,Friday,5,38,Clear,0
328,Alabama,10330,5,0,26,6,2015,Friday,9,50,Clear,0
329,Alabama,10331,59,2690,26,6,2015,Friday,21,3,Cloudy,0
330,Alabama,10332,71,2850,25,6,2015,Thursday,6,1,Fog/Smog/Smoke,0
331,Alabama,10333,69,0,27,6,2015,Saturday,17,0,Rain,0
332,Alabama,10334,41,0,27,6,2015,Saturday,13,5,Cloudy,1
333,Alabama,10335,103,0,28,6,2015,Sunday,6,20,Clear,1
334,Alabama,10336,107,0,28,6,2015,Sunday,18,40,Clear,0
335,Alabama,10337,103,0,1,7,2015,Wednesday,15,30,Cloudy,0
336,Alabama,10338,131,0,2,7,2015,Thursday,7,0,Clear,0
337,Alabama,10339,115,0,2,7,2015,Thursday,10,12,Cloudy,0
338,Alabama,10340,49,0,2,7,2015,Thursday,11,25,Cloudy,0
339,Alabama,10341,119,0,13,6,2015,Saturday,0,40,Cloudy,0
340,Alabama,10342,107,0,3,7,2015,Friday,18,5,Cloudy,0
341,Alabama,10343,97,2100,2,7,2015,Thursday,13,40,Clear,0
342,Alabama,10344,73,1716,1,7,2015,Wednesday,17,25,Clear,0
343,Alabama,10345,97,0,30,6,2015,Tuesday,6,4,Clear,0
344,Alabama,10346,55,1280,2,5,2015,Saturday,0,22,Clear,1
345,Alabama,10347,3,0,21,5,2015,Thursday,10,45,Clear,0
346,Alabama,10348,53,0,7,6,2015,Sunday,15,54,Clear,1
347,Alabama,10349,79,0,17,6,2015,Wednesday,14,30,Clear,0
348,Alabama,10350,89,1730,22,6,2015,Monday,22,27,Clear,0
349,Alabama,10351,51,0,1,7,2015,Wednesday,19,50,Clear,1
350,Alabama,10352,89,0,2,7,2015,Thursday,18,26,Clear,0
351,Alabama,10353,51,0,2,7,2015,Thursday,19,30,Clear,1
352,Alabama,10354,51,0,4,7,2015,Saturday,17,40,Rain,0
353,Alabama,10355,119,0,4,7,2015,Saturday,19,0,Cloudy,1
354,Alabama,10356,89,0,5,7,2015,Sunday,2,35,Cloudy,0
355,Alabama,10357,101,2130,7,7,2015,Tuesday,22,18,Clear,0
356,Alabama,10358,99,1240,2,7,2015,Thursday,21,43,Clear,0
357,Alabama,10359,77,1865,7,7,2015,Tuesday,14,8,Clear,0
358,Alabama,10360,117,2405,8,7,2015,Wednesday,6,35,Clear,0
359,Alabama,10361,129,0,9,7,2015,Thursday,23,0,Clear,0
360,Alabama,10362,101,2130,28,7,2015,Tuesday,3,12,Clear,1
361,Alabama,10363,117,47,28,7,2015,Tuesday,23,5,Clear,0
362,Alabama,10364,73,1110,29,7,2015,Wednesday,5,21,Clear,0
363,Alabama,10365,83,170,29,7,2015,Wednesday,21,49,Clear,0
364,Alabama,10366,75,0,20,7,2015,Monday,11,20,Clear,0
365,Alabama,10367,97,2550,23,7,2015,Thursday,13,58,Clear,1
