,ST_CASE,HOUR,MINUTE,TIME
182,10184,15,0,900
183,10185,14,38,878
184,10186,13,40,820
185,10187,20,30,1230
186,10188,12,50,770
187,10189,10,30,630
188,10190,13,30,810
189,10191,4,20,260
190,10192,8,11,491
191,10193,11,10,670
192,10194,18,39,1119
193,10195,9,36,576
194,10196,20,35,1235
195,10197,20,38,1238
196,10198,9,45,585
197,10199,10,25,625
198,10200,11,0,660
199,10201,23,0,1380
200,10202,20,57,1257
201,10203,0,25,25
202,10204,18,15,1095
203,10205,0,17,17
204,10206,19,32,1172
205,10207,20,6,1206
206,10208,23,0,1380
207,10209,13,9,789
208,10210,19,0,1140
209,10211,9,27,567
210,10212,17,10,1030
211,10213,21,25,1285
212,10214,20,35,1235
213,10215,22,30,1350
214,10216,17,43,1063
215,10217,0,50,50
216,10218,11,0,660
217,10219,15,50,950
218,10220,19,18,1158
219,10221,14,45,885
220,10222,7,35,455
221,10223,21,7,1267
222,10224,21,6,1266
223,10225,22,23,1343
224,10226,9,20,560
225,10227,11,15,675
226,10228,16,35,995
227,10229,6,59,419
228,10230,9,25,565
229,10231,20,0,1200
230,10232,20,49,1249
231,10233,17,17,1037
232,10234,16,0,960
233,10235,19,33,1173
234,10236,13,10,790
235,10237,2,0,120
236,10238,16,55,1015
237,10239,18,55,1135
238,10240,8,30,510
239,10241,12,30,750
240,10242,0,10,10
241,10243,15,7,907
242,10244,6,40,400
243,10245,14,30,870
244,10246,21,58,1318
245,10247,21,31,1291
246,10248,9,30,570
247,10249,1,55,115
248,10250,6,53,413
249,10251,15,18,918
250,10252,5,57,357
251,10253,6,3,363
252,10254,17,15,1035
253,10255,19,50,1190
254,10256,20,41,1241
255,10257,13,30,810
256,10258,14,0,840
257,10259,16,55,1015
258,10260,19,51,1191
259,10261,18,15,1095
260,10262,20,30,1230
261,10263,11,40,700
262,10264,22,7,1327
263,10265,5,25,325
264,10266,14,15,855
265,10267,15,5,905
266,10268,9,0,540
267,10269,18,5,1085
268,10270,20,17,1217
269,10271,22,16,1336
270,10272,18,48,1128
271,10273,17,40,1060
272,10274,19,0,1140
273,10275,14,0,840
274,10276,19,42,1182
275,10277,17,25,1045
276,10278,3,29,209
277,10279,13,21,801
278,10280,21,52,1312
279,10281,9,25,565
280,10282,20,10,1210
281,10283,5,0,300
282,10284,12,30,750
283,10285,15,30,930
284,10286,14,36,876
285,10287,7,10,430
286,10288,19,50,1190
287,10289,21,10,1270
288,10290,16,23,983
289,10291,23,50,1430
290,10292,3,28,208
291,10293,19,32,1172
292,10294,0,25,25
293,10295,5,20,320
294,10296,19,10,1150
295,10297,12,40,760
296,10298,15,57,957
297,10299,18,45,1125
298,10300,2,55,175
